lp,x0,liczba wywolan,a,b,x*,y*,liczba wywolan,x*,y*,liczba wywolan 
1,0.00463866,32,0.00212228,0.00291994,0.00241197,0.000230771,30,0.00241194,0.000421052,14
2,0.00943552,38,0.00153805,0.00404144,0.00241223,0.00134328,34,0.00241198,0.000214474,14
3,0.00107388,29,0.00224779,0.0027926,0.00241228,0.00161751,28,0.00241208,0.000452757,12
4,0.00100797,29,0.00218188,0.00272669,0.00241205,0.000264276,28,0.00241192,0.000539095,11
5,0.000205491,31,0.00192421,0.00272187,0.00241219,0.001119,30,0.00241206,0.000286858,12
6,0.00611753,35,0.00165962,0.00307272,0.0024121,0.000574228,32,0.00241214,0.00078056,10
7,0.00166765,26,0.00233029,0.00263782,0.00241196,0.000285201,26,0.00241199,0.000137824,11
8,0.00558783,34,0.0019036,0.00307145,0.00241205,0.000254096,32,0.00241199,0.000134339,12
9,0.00634846,35,0.00189054,0.00330364,0.00241225,0.00145214,32,0.00241208,0.000438131,16
10,0.00558715,34,0.00190292,0.00307077,0.00241182,0.00113853,32,0.00241216,0.000920902,11
11,0.00598894,35,0.00153102,0.00294412,0.00241202,7.96E-05,32,0.002412,8.23E-05,11
12,0.00528821,34,0.00160398,0.00277183,0.00241208,0.000404394,32,0.00241202,3.97E-05,11
13,0.00255164,18,0.00237714,0.00243246,0.0024121,0.000550953,20,0.00241219,0.00106298,8
14,0.00661565,36,0.00122157,0.00293142,0.00241204,0.000190911,34,0.00241213,0.00070343,12
15,0.00386609,30,0.00214737,0.00269218,0.00241177,0.00146916,28,0.00241208,0.000448434,10
16,0.00127053,28,0.0022407,0.00269096,0.00241222,0.00129897,28,0.00241202,8.79E-05,11
17,0.000279372,31,0.00199809,0.00279575,0.00241215,0.000873323,30,0.00241197,0.000237622,10
18,0.00456601,32,0.00204963,0.00284729,0.00241225,0.00142857,30,0.00241207,0.000339381,12
19,0.00142232,27,0.00222412,0.00259623,0.002412,4.41E-05,26,0.00241218,0.00104074,9
20,0.00521573,34,0.00153151,0.00269936,0.00241191,0.00058041,32,0.00241205,0.000254102,13
21,0.00252219,17,0.00237798,0.00242369,0.00241187,0.000835248,18,0.00241215,0.000847858,6
22,0.0051316,33,0.00208678,0.00305195,0.00241193,0.000499293,30,0.00241185,0.000952095,14
23,0.00696526,36,0.00157119,0.00328104,0.002412,4.51E-05,34,0.00241186,0.000935463,12
24,0.00547424,34,0.00179001,0.00295787,0.0024119,0.000645026,32,0.00241191,0.00059385,11
25,0.00342718,28,0.00225327,0.00262538,0.00241188,0.000820687,26,0.00241207,0.000372813,10
26,0.0088073,38,0.000909827,0.00341322,0.0024121,0.000554732,34,0.00241215,0.000818662,13
27,0.00725851,36,0.00186443,0.00357428,0.00241202,7.29E-05,34,0.00241184,0.00102081,12
28,0.0050482,33,0.00200338,0.00296855,0.00241193,0.000482162,30,0.00241187,0.000881874,11
