lp,x0,liczba wywolan,a,b,x*,y*,liczba wywolan,x*,y*,liczba wywolan 
1,0.0011242,18,0.00194472,0.00266423,0.00241192; ,0.000519837; ,30,0.00241193; ,0.000496067; ,14,
2,0.00120012,18,0.00202064,0.00274015,0.00241216; ,0.000886408; ,30,0.00241209; ,0.00046409; ,10,
3,0.00424746,20,0.00213762,0.00312335,0.00241229; ,0.00169661; ,30,0.00241198; ,0.000187695; ,12,
4,0.00395332,20,0.00184347,0.00282921,0.00241195; ,0.00035399; ,30,0.00241191; ,0.000606197; ,13,
5,0.00600417,23,0.00057902,0.00311368,0.00241227; ,0.00158263; ,34,0.00241209; ,0.00050497; ,13,
6,0.00824498,24,0.000812528,0.00428502,0.00241198; ,0.000199478; ,36,0.00241213; ,0.000722644; ,14,
7,0.00820748,24,0.000775033,0.00424752,0.00241195; ,0.000344585; ,36,0.00241212; ,0.000643922; ,14,
8,0.00476988,21,0.0018794,0.00322985,0.00241195; ,0.000393031; ,32,0.00241211; ,0.000597598; ,16,
9,0.00767958,24,0.000247133,0.00371962,0.00241224; ,0.00140174; ,36,0.00241196; ,0.000280883; ,13,
10,0.00435519,21,0.00146471,0.00281516,0.00241222; ,0.00128082; ,32,0.00241214; ,0.000798599; ,12,
11,0.00284433,16,0.00224541,0.00252523,0.00241193; ,0.000494517; ,26,0.00241196; ,0.000284132; ,11,
12,0.00877868,24,0.00134623,0.00481872,0.00241185; ,0.000984478; ,36,0.00241186; ,0.000921187; ,14,
13,0.00299032,17,0.00216981,0.00255316,0.00241217; ,0.000956166; ,28,0.00241186; ,0.000919995; ,11,
14,0.00344323,19,0.0019032,0.00262271,0.00241186; ,0.00093791; ,30,0.00241203; ,0.000120968; ,11,
15,0.00491257,21,0.00202209,0.00337254,0.00241196; ,0.000289555; ,32,0.00241182; ,0.00116891; ,12,
16,0.00551044,22,0.00155048,0.0034006,0.00241204; ,0.000199628; ,34,0.00241198; ,0.00015916; ,14,
17,0.00982631,25,-0.000356148,0.00440116,0.00241192; ,0.000532351; ,38,0.00241214; ,0.000805063; ,14,
18,0.0011279,18,0.00194842,0.00266793,0.00241202; ,6.03264e-05; ,30,0.00241195; ,0.000351745; ,14,
19,0.00994351,25,-0.000238942,0.00451837,0.00241222; ,0.00125521; ,38,0.00241207; ,0.000359559; ,16,
20,0.00466775,21,0.00177727,0.00312772,0.00241226; ,0.00149764; ,32,0.00241196; ,0.000313769; ,13,
21,0.00951864,25,-0.000663817,0.00409349,0.00241196; ,0.000292459; ,38,0.00241205; ,0.000255235; ,14,
22,0.00899822,24,0.00156578,0.00503826,0.00241221; ,0.00121632; ,36,0.00241201; ,1.15186e-05; ,15,
23,0.00694246,23,0.00151731,0.00405198,0.00241211; ,0.000625198; ,34,0.00241194; ,0.000422167; ,13,
24,0.00510334,22,0.00114338,0.0029935,0.00241204; ,0.000193496; ,34,0.00241208; ,0.000418333; ,12,
25,0.00926798,25,-0.000914477,0.00384283,0.00241208; ,0.000399222; ,38,0.00241199; ,0.000130468; ,15,
26,0.00560551,22,0.00164555,0.00349567,0.00241197; ,0.000236336; ,34,0.00241217; ,0.00099058; ,16,
27,0.00612334,23,0.000698194,0.00323286,0.00241202; ,3.67199e-05; ,34,0.00241208; ,0.000429954; ,17,
28,0.00544366,22,0.0014837,0.00333382,0.00241208; ,0.000404552; ,34,0.00241208; ,0.000440593; ,12,
29,0.00197951,15,0.00229861,0.00257843,0.00241191; ,0.000603736; ,26,0.00241202; ,7.2234e-05; ,10,
30,0.00675144,23,0.00132629,0.00386096,0.00241206; ,0.000282954; ,34,0.0024121; ,0.000566653; ,16,
31,0.00795833,24,0.000525884,0.00399837,0.00241176; ,0.00154555; ,36,0.00241202; ,6.78551e-05; ,13,
32,0.00821717,24,0.000784717,0.00425721,0.00241188; ,0.00076469; ,36,0.00241193; ,0.000476283; ,13,
33,0.00949448,25,-0.000687979,0.00406933,0.00241214; ,0.000782454; ,38,0.0024121; ,0.00054294; ,14,
34,0.00060973,19,0.00173384,0.00271957,0.00241218; ,0.00105811; ,30,0.00241209; ,0.000494865; ,11,
35,0.00125197,18,0.00207248,0.002792,0.00241219; ,0.00110409; ,30,0.00241222; ,0.00124512; ,13,
36,0.00169273,17,0.00229165,0.00281684,0.0024119; ,0.000656299; ,28,0.00241193; ,0.000474824; ,10,
37,0.00784443,24,0.000411984,0.00388447,0.00241181; ,0.00122261; ,36,0.00241215; ,0.000847228; ,15,
38,0.00197891,15,0.00229801,0.00257783,0.00241223; ,0.0013597; ,26,0.00241203; ,0.000120003; ,10,
